,,,,,
Subject,Subject Desc,Course Number,Title,Academic Period Desc,CRN
,,25200,Aviation Projects,Fall 2024,57193
,,,,,14774
,,25400,Commercial Flt Lecture,Fall 2024,11679
,,26200,Bsc Aircrft Pwrplt Tch,Fall 2024,10550
,,26502,Aircraft Electrical Systems,Fall 2024,12369
,,26700,Fixed & Rotry Wng Assy,Fall 2024,11684
,,27200,Intro To Compst Tech,Fall 2024,11688
,,27800,Nondestruc Test Aircft,Fall 2024,22367
,,29000,Aviation Learning Community,Fall 2024,57410
,,,Design Thinking In Technology,Fall 2024,21173
,,,Career Resource Seminar,Fall 2024,28829
,,30702,Advanced Aircraft Systems,Fall 2024,62285
,,30802,Aircraft Materials Processes,Fall 2024,11985
,,30901,Intro UAS Sensor Tech,Fall 2024,16694
,,32001,Advanced Aviation Operations,Fall 2024,27512
,,32501,Advanced Aviation Meteorology,Fall 2024,14238
,,32700,Adv Transprt Flight Op,Fall 2024,11727
,,33502,Avionics Systems,Fall 2024,14241
,,,,,15012
,,33800,Airline Management,Fall 2024,11728
,,34001,Aerospace Business Statistics,Fall 2024,15093
,,35400,Turbine Flight Ops Lect,Fall 2024,11760
,,,Turbine Flight Ops Lect-Honors,Fall 2024,11760
,,35900,Airport Management,Fall 2024,30258
,,36201,Aviation Operations,Fall 2024,17862
,,36302,Fundamentals Of Powerplant Sys,Fall 2024,62292
,,37200,Aircraft Maint Pract,Fall 2024,11780
,,37600,Arcr Gas Trb Eng Tch I,Fall 2024,11783
,,38500,Design Support Anlysis,Fall 2024,20407
,,38800,Large Aircraft Systems,Fall 2024,17130
,,40300,Airman Certif Proced,Fall 2024,32425
,,40900,Adv Air Mobility: Mgmt & Ops,Fall 2024,15725
,,41200,Aviation Finance,Fall 2024,36634
,,41600,Airline Indoctrination,Fall 2024,33475
,,42101,Managerial Econ In Aviation,Fall 2024,27219
,,,Mangrl Econ In Aviation-Honors,Fall 2024,27219
,,43800,Airline Operations,Fall 2024,36679
,,43900,Aviation Command Leadership,Fall 2024,30404
,,44502,Aircraft Electronics,Fall 2024,14697
,,,,,12371
,,,,,32174
,,45100,Airport Operations,Fall 2024,68446
,,47200,Adv Composite Tech,Fall 2024,15883
,,47500,Aviation Law,Fall 2024,15056
,,47600,Arcr Gas Trb En Tch II,Fall 2024,11837
,,48000,Adv Aviation Manufacturing,Fall 2024,29036
,,48100,Aviation Safety Problm,Fall 2024,11842
,,,Aviation Safety Problm-Honors,Fall 2024,11842
,,49200,Aircrft Airworth Assur,Fall 2024,24408
,,49401,Capstone Project Proposal,Fall 2024,17706
,,49501,Applied Capstone Res Proj,Fall 2024,17707
,,49600,Applied Research Proposal,Fall 2024,32421
,,49700,Applied Resrch Project,Fall 2024,32320
,,49800,Aviation Technology Capstone,Fall 2024,62991
,,50500,Research Methods In Aviation,Fall 2024,59238
,,50700,Quant Eval In Transportation,Fall 2024,14649
,,54600,Aviation Financial Instruments,Fall 2024,26079
,,55000,Critical Systems Thinking,Fall 2024,29044
,,57200,Human Error And Safety,Fall 2024,30210
BAND,BAND-Bands,11000,Marching Band,Fall 2024,46611
,,,,,18739
,,11100,Symphony Orchestra,Fall 2024,22286
,,,,,68960
,,,Symphony Orchestra-Honors,Fall 2024,22286
,,,,,68960
,,11200,American Music Review,Fall 2024,11878
,,11300,Jazz Ensemble,Fall 2024,11880
,,,,,15370
,,11400,Basic Jazz,Fall 2024,11883
,,,,,25009
,,,,,25014
,,11500,String Orchestra,Fall 2024,25770
,,,,,25020
,,11700,Concert Band,Fall 2024,11886
,,11800,Collegiate Band,Fall 2024,19282
,,11900,Varsity Band,Fall 2024,19283
,,,,,25023
,,,,,33279
,,,Varsity Band-Honors,Fall 2024,25023
,,35000,Wind Ensemble I,Fall 2024,48049
BCHM,BCHM-Biochemistry,10000,Intro Biochemistry,Fall 2024,11888
,,,Intro Biochemistry-Honors,Fall 2024,11888
,,22100,Anly Biochemistry,Fall 2024,28830
,,,Anly Biochemistry-Honors,Fall 2024,28830
,,30700,Biochemistry,Fall 2024,21108
,,,Biochemistry-Honors,Fall 2024,21108
,,30900,Biochemistry Lab,Fall 2024,11892
,,,,,11894
,,,,,11896
,,,,,32119
,,32200,Analytical Biochemistry II,Fall 2024,12025
,,,,,28441
,,39000,Professional Development Sem,Fall 2024,50724
,,42100,R For Molecular Biosci-Honors,Fall 2024,21884
,,,R For Molecular Biosciences,Fall 2024,21884
,,42200,Computational Genomics,Fall 2024,21888
,,46200,Metabolism,Fall 2024,50723
,,56100,General Biochemistry I,Fall 2024,11918
,,60100,Cr Think And Comm In Biochem I,Fall 2024,54500
,,60200,Cr Think And Com In Biochem II,Fall 2024,25661
,,60300,Intro To Grad Res In Biochm I,Fall 2024,16850
,,60501,Macromolecules,Fall 2024,15564
,,61200,Bioinfo Anly Genome Scale Data,Fall 2024,25657
BIOL,BIOL-Biological Sciences,11000,Fundamentals Biol I,Fall 2024,24429
,,,,,24430
,,,,,24436
,,,,,12061
,,,Fundamentals Biol I-Honors,Fall 2024,24429
,,,,,24430
,,,,,24436
,,,,,12061
,,11100,Fundamentals Biol II,Fall 2024,12157
,,11500,Biology Resource Sem,Fall 2024,15237
,,,,,15232
,,,,,15234
,,,,,15242
,,,,,15238
,,,,,12185
,,,,,20157
,,,,,21126
,,,,,23090
,,,,,15282
,,,,,15241
,,,,,15240
,,12100,Biol I Divrs Ecol Behv,Fall 2024,12194
,,13500,First Year Biology Lab,Fall 2024,50364
,,14505,First Yr Lab Phages Folds-Honr,Fall 2024,27185
,,19700,Biol Freshman Honr Sem,Fall 2024,12213
,,20300,Human Antmy & Physiol,Fall 2024,50991
,,,,,23071
,,,,,12217
,,,Human Antmy & Physiol-Honors,Fall 2024,50991
,,,,,23071
,,,,,12217
,,20500,Biol Elem Sch Teach,Fall 2024,12251
,,,Biol Elem Sch Teach-Honors,Fall 2024,12251
,,22100,Intro To Microbiology,Fall 2024,12262
